Time	Lon	Lat	Hei
  0.0	   9.1	  -1.9	 307.5
  1.0	  10.9	  -6.0	 307.5
  2.0	  10.9	  -7.9	 307.5
  3.0	  10.9	 -10.0	 307.5
  4.0	  14.4	 -12.0	 307.5
  5.0	   3.7	   2.7	 307.5
  7.0	   3.7	   3.4	 307.5
  8.0	   1.9	   3.4	 307.5
  9.0	  -5.4	   4.0	   0.0
 15.0	  -3.5	-3483359.3	   0.0
 20.0	  -3.5	   2.7	   0.0
 26.0	  -3.5	   2.0	 345.5
 27.0	  -3.5	   2.0	 345.5
 28.0	  -3.5	   2.0	 345.5
 29.0	  -1.9	   1.4	 345.5
 30.0	  -1.9	   1.4	 333.6
 36.0	  -1.9	   0.7	 341.0
 37.0	  -3.5	   0.7	 341.0
 39.0	  -3.5	   0.7	 340.7
 40.0	  -1.9	  -0.7	   0.0
 45.0	   0.0	-3483359.3	   0.0
 50.0	   0.0	  -0.7	 337.7
 51.0	   0.0	  -0.7	 337.7
 52.0	   0.0	   0.0	 337.7
 53.0	   0.0	   0.0	 337.7
 54.0	   0.0	   0.0	   0.0
 58.0	   0.0	   0.0	   0.0
 61.0	   0.0	   0.0	   0.0
 64.0	   0.0	-3483359.3	   0.0
 68.0	   0.0	  -0.7	 337.1
 69.0	   0.0	  -0.7	 337.1
 70.0	   0.0	  -0.7	 337.1
 71.0	   0.0	  -1.4	 337.1
 72.0	   0.0	  -1.4	 337.1
 73.0	   0.0	  -1.9	 337.2
 73.0	   7.2	-3483359.3	 330.8
116.0	  12.8	   3.4	 324.4
132.0	  12.8	   3.4	 324.4
148.0	  14.4	   2.7	 324.4
165.0	  12.8	   2.0	 328.8
